elapsed_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,rb_raw_x_m,rb_raw_y_m,rb_raw_z_m,rb_qx,rb_qy,rb_qz,rb_qw,rb_corrected_x_m,rb_corrected_y_m,rb_corrected_z_m,rb_aligned_x_m,rb_aligned_y_m,rb_aligned_z_m,mocap_age_ms,error_mm
12.9169,0.180892,0.161721,1.266361,1.1259,6.9025,177.9023,-0.22486,2.068913,-0.138687,-0.037761,0.001157,-0.057652,0.997622,-0.222575,2.091244,-0.125453,0.182518,0.152668,1.26697,0.659,9.218
13.0643,0.181029,0.162309,1.265953,1.0978,6.9181,177.8924,-0.224552,2.06856,-0.138329,-0.039315,-0.001936,-0.05455,0.997735,-0.222488,2.090952,-0.125158,0.182747,0.152872,1.266677,5.821,9.6195
13.2102,0.181378,0.163824,1.264895,1.025,6.9583,177.8668,-0.223393,2.067594,-0.137041,-0.038583,-0.000553,-0.055056,0.997737,-0.221268,2.089961,-0.12384,0.183432,0.154536,1.265693,2.016,9.546
13.3549,0.18192,0.166223,1.263207,0.9092,7.0214,177.826,-0.221178,2.06576,-0.135942,-0.040621,-0.004635,-0.053154,0.997749,-0.219248,2.088195,-0.122826,0.1835,0.156806,1.263941,5.142,9.5763
13.493,0.182608,0.169357,1.260977,0.7571,7.1031,177.7721,-0.218758,2.063544,-0.133757,-0.041656,-0.002682,-0.052221,0.997763,-0.216812,2.086007,-0.120691,0.184413,0.159924,1.261766,1.497,9.6359
13.6327,0.183455,0.173361,1.258088,0.5613,7.206,177.7025,-0.21563,2.060558,-0.131072,-0.042486,-0.004339,-0.048993,0.997886,-0.213871,2.083057,-0.118042,0.185576,0.16372,1.258833,-0.649,9.8992
13.7744,0.184405,0.178075,1.254625,0.3284,7.3252,177.6192,-0.211719,2.057082,-0.128152,-0.044382,-0.004126,-0.048509,0.997828,-0.209973,2.079632,-0.115208,0.186507,0.168466,1.255432,-0.706,9.8688
13.9156,0.185175,0.182101,1.251615,0.1276,7.4252,177.547,-0.208059,2.053888,-0.125554,-0.044778,-0.002024,-0.049334,0.997776,-0.206217,2.076442,-0.11263,0.187266,0.172975,1.252266,-1.068,9.3855
14.058,0.185763,0.185315,1.249177,-0.0341,7.5039,177.4886,-0.205332,2.051355,-0.123696,-0.048544,-0.004984,-0.047184,0.997693,-0.203661,2.074017,-0.110941,0.187722,0.176018,1.249858,-0.717,9.5255
14.2021,0.186183,0.187691,1.247354,-0.1543,7.5614,177.445,-0.203439,2.049326,-0.122461,-0.049586,-0.002976,-0.047536,0.997634,-0.201695,2.072011,-0.109756,0.187967,0.178312,1.247866,1.638,9.5609
14.3434,0.186437,0.189173,1.246208,-0.2297,7.597,177.4176,-0.201982,2.048028,-0.121538,-0.048431,0.000584,-0.04991,0.997579,-0.200037,2.07067,-0.108785,0.18815,0.180233,1.246536,1.634,9.1081
14.4864,0.186545,0.189805,1.245716,-0.2619,7.6121,177.4059,-0.201559,2.047459,-0.120813,-0.049595,-0.009594,-0.044448,0.997734,-0.200134,2.070163,-0.108102,0.188808,0.180432,1.246025,3.035,9.6474
14.6331,0.186711,0.190494,1.245259,-0.2734,7.622,177.4179,-0.201143,2.047115,-0.120411,-0.04971,-0.009894,-0.043019,0.997788,-0.199789,2.069827,-0.107705,0.189023,0.180913,1.24569,8.164,9.8654
14.7798,0.187172,0.192385,1.244005,-0.3023,7.6485,177.4537,-0.199274,2.045849,-0.119533,-0.051501,-0.005018,-0.049267,0.997444,-0.197508,2.068579,-0.106911,0.188787,0.183326,1.244461,5.343,9.2129
