elapsed_s,tcp_x_m,tcp_y_m,tcp_z_m,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,rb_raw_x_m,rb_raw_y_m,rb_raw_z_m,rb_qx,rb_qy,rb_qz,rb_qw,rb_aligned_x_m,rb_aligned_y_m,rb_aligned_z_m,mocap_age_ms,error_mm
2.7362,0.0382,-0.192058,1.337403,-2.4023,1.6152,177.9241,-0.482567,2.142862,-0.421255,0.008411,0.001542,0.010398,-0.999909,0.077322,-0.206302,1.330022,2.035,42.2842
2.8509,0.041496,-0.184718,1.337911,-2.5304,1.7652,177.5908,-0.477076,2.143343,-0.414803,0.013105,0.007679,0.007189,-0.999859,0.080602,-0.198489,1.330491,-0.754,42.1189
2.9796,0.044709,-0.177637,1.338328,-2.6546,1.9094,177.2677,-0.471764,2.143608,-0.40894,0.014826,0.009033,0.009077,-0.999808,0.083432,-0.191101,1.330754,3.022,41.6898
3.0848,0.046972,-0.172695,1.338574,-2.7418,2.0098,177.0412,-0.468075,2.143692,-0.404625,0.015546,0.013003,0.008701,-0.999757,0.08561,-0.185858,1.33083,0.873,41.5469
3.2099,0.049153,-0.167965,1.338776,-2.8256,2.1057,176.8237,-0.464528,2.143898,-0.400618,0.016941,0.008805,0.010126,-0.999767,0.087583,-0.180883,1.331032,0.515,41.2759
3.3364,0.050847,-0.164314,1.338909,-2.8905,2.1796,176.6553,-0.46179,2.143985,-0.397401,0.018471,0.01456,0.008901,-0.999684,0.089213,-0.176986,1.331114,1.867,41.1499
3.456,0.051965,-0.161912,1.338986,-2.9333,2.2281,176.5443,-0.460056,2.143999,-0.395292,0.017353,0.013235,0.010453,-0.999707,0.090309,-0.174485,1.331123,4.272,41.1109
3.5755,0.052599,-0.160557,1.339026,-2.9575,2.2555,176.4816,-0.459078,2.144068,-0.394082,0.018922,0.013568,0.008411,-0.999694,0.090946,-0.173065,1.331189,-1.036,41.0903
3.6817,0.052816,-0.160079,1.339019,-2.9576,2.2656,176.4637,-0.458859,2.144033,-0.393872,0.01919,0.014081,0.007883,-0.999686,0.091033,-0.172775,1.331154,4.903,41.031
3.786,0.053273,-0.159008,1.338899,-2.9143,2.2903,176.4454,-0.458075,2.14396,-0.392946,0.017279,0.012626,0.010437,-0.999717,0.091501,-0.171656,1.331079,9.708,41.0185
3.8905,0.054174,-0.156897,1.33866,-2.8288,2.3392,176.4095,-0.456635,2.14366,-0.391311,0.019776,0.015344,0.009558,-0.999641,0.092297,-0.169628,1.330778,5.911,40.9579
4.0086,0.055738,-0.153247,1.338231,-2.6807,2.4239,176.3478,-0.454285,2.14332,-0.388565,0.017955,0.015317,0.011854,-0.999651,0.09367,-0.166285,1.330433,4.785,40.8612
4.1606,0.058607,-0.146589,1.337402,-2.4099,2.579,176.2365,-0.449515,2.142449,-0.382985,0.018213,0.020563,0.012081,-0.99955,0.096456,-0.159494,1.329554,0.468,40.752
4.2896,0.061777,-0.139288,1.336425,-2.1117,2.7501,176.1163,-0.444334,2.14143,-0.377229,0.019678,0.022199,0.015279,-0.999443,0.099208,-0.152256,1.328532,4.622,40.3918
4.4073,0.06532,-0.131201,1.335256,-1.7799,2.9408,175.9855,-0.438982,2.140514,-0.371098,0.019901,0.016227,0.018666,-0.999496,0.10222,-0.144696,1.32761,6.033,40.0269
4.5101,0.068869,-0.123176,1.334006,-1.4491,3.1313,175.858,-0.433092,2.139088,-0.364008,0.01705,0.014731,0.023007,-0.999481,0.105828,-0.136217,1.326168,0.502,39.9682
4.6097,0.072781,-0.114411,1.332538,-1.0858,3.3408,175.7215,-0.426859,2.137648,-0.356592,0.018477,0.019061,0.027382,-0.999272,0.109569,-0.127283,1.324714,0.623,39.7527
4.6312,0.073654,-0.112467,1.332198,-1.005,3.3875,175.6917,-0.425814,2.137398,-0.355544,0.019802,0.02274,0.025954,-0.999208,0.110023,-0.125874,1.324467,4.881,39.5247
4.7412,0.077725,-0.103457,1.33055,-0.6289,3.6047,175.5551,-0.419463,2.135607,-0.348038,0.019864,0.025581,0.031102,-0.998991,0.11378,-0.11679,1.322662,6.591,39.242
4.8443,0.081057,-0.096151,1.329128,-0.3223,3.7821,175.4466,-0.414076,2.134138,-0.341138,0.018011,0.0216,0.034293,-0.999016,0.117443,-0.108845,1.32117,1.289,39.35
4.9438,0.083904,-0.089956,1.327861,-0.0611,3.9333,175.3562,-0.409778,2.132933,-0.33632,0.018775,0.019274,0.037514,-0.998934,0.119754,-0.102816,1.319963,0.613,38.8971
4.9651,0.084474,-0.08872,1.327602,-0.0088,3.9635,175.3384,-0.409031,2.132589,-0.335385,0.021475,0.025393,0.035983,-0.998799,0.120238,-0.101723,1.319616,5.33,38.8832
5.0918,0.087346,-0.082525,1.326267,0.2539,4.1157,175.2498,-0.40473,2.131245,-0.330042,0.019171,0.026609,0.039206,-0.998693,0.12301,-0.095452,1.318257,7.071,38.7714
5.1939,0.089176,-0.078598,1.325391,0.4209,4.2125,175.1945,-0.40173,2.130408,-0.326162,0.019797,0.020619,0.04144,-0.998732,0.125083,-0.091009,1.317406,0.568,38.822
5.3025,0.090628,-0.075495,1.324683,0.5533,4.2892,175.1512,-0.399428,2.129659,-0.323648,0.021475,0.027501,0.043492,-0.998444,0.126258,-0.087809,1.316657,1.395,38.543
5.4079,0.091565,-0.073497,1.32422,0.6387,4.3387,175.1235,-0.398077,2.129048,-0.321642,0.019145,0.027549,0.04337,-0.998496,0.127415,-0.08569,1.316034,7.102,38.7408
5.5188,0.092025,-0.072518,1.32399,0.6806,4.363,175.11,-0.39741,2.128814,-0.320861,0.019055,0.027696,0.04357,-0.998485,0.127801,-0.084738,1.315799,0.592,38.6819
5.6417,0.092337,-0.07193,1.323866,0.6811,4.4123,175.1134,-0.397177,2.128652,-0.320657,0.017983,0.025138,0.046495,-0.99844,0.127872,-0.084436,1.315638,6.355,38.5597
5.7752,0.093308,-0.070124,1.323487,0.6703,4.5802,175.1295,-0.396109,2.128244,-0.318592,0.019266,0.021475,0.045757,-0.998536,0.129216,-0.082544,1.315209,7.469,38.8864
