iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,new_node_collision_count,random_new_node_collision_count,rewire_collision_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
35,add_node,random,33,37,0.11708250000083353,,,0,0,0,True,False,,,,best_parent=26,0.7986575622340379,"[4.26369, 0.378898, 0.170879, -0.206232, 0.654997, 0.343639, -0.445318, 0.859489]","[4.707773, 0.363999, 0.124936, 0.115307, 0.687532, 0.330235, -0.534578, 1.364895]","[5.59457, -0.280626, -1.131022, 2.312216, 0.176296, 1.340207, -1.129244, 2.927281]"
36,add_node,random,31,38,0.1205883000002359,,,0,0,0,True,False,,,,best_parent=9,0.703370869498906,"[2.27393, 0.241597, 0.971936, -0.648851, 0.371694, 0.823632, -0.050639, 0.635248]","[3.743947, 0.168021, 1.201395, -0.512561, 0.361352, 1.595045, 0.765051, 1.397965]","[3.107063, -0.814321, 1.225835, -1.047378, -0.248739, 2.171608, 1.675103, 2.459404]"
37,add_node,random,37,39,0.1243871000042418,,,0,0,0,True,False,,,,best_parent=9,0.7171297784036463,"[2.27393, 0.241597, 0.971936, -0.648851, 0.371694, 0.823632, -0.050639, 0.635248]","[4.116053, 0.105075, 1.377708, -0.584761, 0.364408, 1.389404, 0.666817, 1.204071]","[6.891071, -0.364354, 2.692578, -1.123198, 0.387199, -0.144178, -0.065773, -0.241913]"
38,add_node,random,38,40,0.12893340000300668,,,0,0,0,True,False,,,,best_parent=9,0.754056241030276,"[2.27393, 0.241597, 0.971936, -0.648851, 0.371694, 0.823632, -0.050639, 0.635248]","[4.381828, 0.040773, 1.248426, -0.660964, 0.20518, 1.461444, 0.843856, 0.916675]","[7.617704, -0.742112, -0.325613, -1.588756, -1.733471, 2.33854, 2.999353, -2.582448]"
39,add_node,random,26,41,0.13353380000626203,,,0,0,0,True,False,,,,best_parent=9,0.742804052414638,"[2.27393, 0.241597, 0.971936, -0.648851, 0.371694, 0.823632, -0.050639, 0.635248]","[4.388988, 0.375011, 0.345783, 0.040145, 0.376015, 0.433985, -0.576792, 0.640939]","[5.873259, 0.328965, 2.41769, 2.958721, -2.928806, 1.50423, -2.134239, -1.948001]"
40,add_node,random,8,42,0.14015610000205925,,,0,0,0,True,False,,,,best_parent=2,0.3776063273920402,"[0.363906, 0.05941, 0.186547, -0.046001, 0.052672, 0.186547, 0.157022, 0.186482]","[1.773088, 0.248421, 0.924159, -0.681887, 0.515091, 0.808552, -0.422373, 0.153462]","[0.284171, 0.778673, 1.914567, -1.018753, 1.958701, 2.147556, -1.631193, -2.034255]"
41,add_node,goal_bias,30,43,0.14886740000656573,,,0,0,0,True,False,,,,best_parent=30,0.8568929291336881,"[4.048525, 0.476137, 1.391164, -0.71548, 0.439332, 1.52015, 0.913073, 1.590056]","[4.303779, 0.540523, 1.606107, -0.722709, 0.494303, 1.71924, 1.125697, 1.780419]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
42,add_node,random,32,44,0.15419740000652382,,,0,0,0,True,False,,,,best_parent=0,0.17574696581034474,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.19355, -0.15518, -0.586927, 0.00187, -0.146847, 0.575282, 0.27833, -0.427278]","[1.318126, -0.58543, -1.164484, -0.326771, -0.42202, 3.109258, -0.10234, -2.427897]"
43,add_node,random,39,45,0.1586225999999442,,,0,0,0,True,False,,,,best_parent=9,0.7535423185697405,"[2.27393, 0.241597, 0.971936, -0.648851, 0.371694, 0.823632, -0.050639, 0.635248]","[4.22457, -0.007352, 0.960879, -0.626197, -0.083297, 1.644765, 0.72893, 0.912523]","[3.423935, -0.252369, -0.503096, -0.44919, -1.552004, 2.578097, 0.143813, 0.891384]"
44,add_node,random,43,46,0.16193980000389274,,,0,0,0,True,False,,,,best_parent=0,0.23177237765498016,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.278114, -0.24565, -0.647056, 0.243354, 0.039612, 0.787016, 0.214657, -0.574265]","[0.716202, -0.714335, -0.958557, 1.494376, 1.005569, 1.883917, -0.115202, -1.335742]"
45,add_node,goal_bias,42,47,0.16429020000214223,,,0,0,0,True,False,,,,best_parent=42,0.9368929291336882,"[4.303779, 0.540523, 1.606107, -0.722709, 0.494303, 1.71924, 1.125697, 1.780419]","[4.559033, 0.60491, 1.821051, -0.729937, 0.549275, 1.918331, 1.33832, 1.970783]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
46,add_node,goal_bias,46,48,0.16613370000413852,,,0,0,0,True,False,,,,best_parent=24,1.0160527642382404,"[3.718392, 0.457194, 1.274037, -0.660535, 0.72859, 1.092505, 0.488247, 1.369765]","[4.814288, 0.669296, 2.035995, -0.737165, 0.604246, 2.117421, 1.550944, 2.161146]","[6.125336, 1.0, 3.14, -0.774292, 0.886594, 3.14, 2.643031, 3.1389]"
