iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,reason,cost,from_q,to_q,sample_q
54,add_node,random,26,56,True,False,,best_parent=0,0.3868647027315538,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.59516, -0.035473, 1.036337, -0.075507, 0.407426, 1.429681, 0.448707, 0.889462]","[3.108101, -0.378236, 0.487733, -1.530298, -1.533337, 3.018205, 1.093912, 2.090959]"
55,add_node,random,36,57,True,False,,best_parent=0,0.31527919810393434,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.971072, 0.214292, -0.674192, 0.08246, 0.1463, -0.30715, 0.182336, 0.634051]","[2.429289, 0.672667, -2.039605, -2.124093, -2.544723, 1.082447, -0.334497, 2.665614]"
56,add_node,random,41,58,True,False,,best_parent=0,0.35653604749751694,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.776382, -0.221299, -0.301346, -0.635191, -0.873616, -0.176039, -0.964305, -0.563966]","[3.667922, -0.073262, 1.444967, -3.086554, -1.905364, 1.374133, -2.984048, -0.422686]"
57,add_node,random,54,59,True,False,,best_parent=0,0.48207805034043477,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[1.778553, -0.139583, 1.132604, 1.031347, 1.351003, 0.897599, -0.510275, 1.317831]","[0.924046, -0.109061, 1.430344, 2.566452, 2.440475, 1.425148, -3.118802, 2.965422]"
58,add_node,random,51,60,True,False,,best_parent=0,0.5377161387834309,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.444757, -0.476281, -0.96871, -0.179125, 0.7564, 0.274503, 0.062933, 0.214496]","[4.319052, -0.860356, -0.686877, 2.980523, 1.575413, -0.603368, -0.127119, 0.439883]"
59,add_node,random,59,61,True,False,,best_parent=0,0.5740304974979968,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.725675, -0.505526, -0.942569, 0.086626, 0.889709, 0.029767, -0.099111, 0.077121]","[6.871202, -0.832996, -0.649855, 3.062327, 2.38242, -2.710624, -1.913574, -1.46111]"
60,add_node,random,42,62,True,False,,best_parent=0,0.467058502078278,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.566286, 0.267301, 1.029196, 0.795146, -0.632355, 1.019917, 0.215889, -0.747536]","[3.179542, 0.225055, 1.580396, -2.773506, -2.361964, 2.031668, 1.360782, -2.941763]"
61,add_node,random,53,63,True,False,,best_parent=0,0.41729721625101696,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[2.373277, 0.181627, -0.036817, -0.059418, 1.281897, -1.10168, -0.347322, -0.026017]","[1.016649, -0.233092, 2.183631, -1.563536, 2.903217, -2.28742, -1.340677, -1.967495]"
62,add_node,random,23,64,True,False,,best_parent=0,0.32043670317655176,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.984693, -0.371466, -0.467752, 0.421517, -0.407666, -0.949775, -0.582847, 0.521403]","[1.988636, -0.280856, 0.178687, 1.451559, -2.073731, -1.465696, -2.941391, 2.684278]"
63,add_node,random,51,65,True,False,,best_parent=0,0.5395321194283877,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.373537, -0.377137, -1.156363, -0.720582, 0.649868, 0.684904, 0.371862, 0.008652]","[3.71337, -0.048011, -2.207959, -1.495246, 0.687505, 2.732949, 2.366876, -1.225556]"
