iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
41,add_node,random,29,34,0.43272780000006605,,,True,False,,,,best_parent=7,0.5661214469464946,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[5.479302, 0.474231, -0.530618, -0.024505, -0.422786, -0.231924, -0.340308, -1.832434]","[7.161225, 0.445892, -1.629866, -0.430204, -1.039454, -1.672365, -3.032989, -2.618693]"
42,extend,random,32,34,0.43361169999843696,0.00021379999998316634,0.00021379999998316634,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.65044, 0.173061, -0.017643, 0.556819, 0.644766, 0.387671, 0.215205, -1.08926]",0.16666666666666666,extend_edge_collision,,"[4.649263, 0.160317, -0.043344, 0.517651, 0.669402, 0.341023, 0.23365, -1.079714]","[4.656321, 0.236785, 0.11086, 0.752658, 0.521583, 0.620909, 0.122983, -1.136989]","[4.701728, 0.728732, 1.102907, 2.264545, -0.429392, 2.421517, -0.58898, -1.505462]"
43,extend,goal_bias,14,34,0.4365115999989939,0.0005967000015516533,0.0005967000015516533,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]",1.0,extend_edge_collision,,"[4.892153, 0.167169, 0.251953, 0.919519, -0.183006, -1.086885, 0.510327, -1.720283]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]","[5.03654, 0.021986, 0.618179, 1.38624, -0.442241, -1.723162, 0.500885, -1.783881]"
44,add_node,random,16,35,0.44962589999886404,,,True,False,,,,best_parent=5,0.6005231040833435,"[4.544828, 0.560266, 0.232127, 0.00694, 0.337011, -0.597589, 1.133408, -1.72559]","[4.78676, 0.013164, 0.477313, 0.72031, 0.213092, -1.282597, 0.604416, -1.430505]","[3.089325, -0.715355, 3.06716, 1.930405, 2.379444, -2.587554, 2.784169, 2.849145]"
45,extend,random,32,35,0.4536863999983325,0.0012616000003617955,0.0012616000003617955,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.754844, 0.134748, -0.150335, 0.562937, 0.754168, 0.422295, 0.260723, -1.010078]",0.42857142857142855,extend_edge_collision,,"[4.649263, 0.160317, -0.043344, 0.517651, 0.669402, 0.341023, 0.23365, -1.079714]","[4.895619, 0.100657, -0.292989, 0.623318, 0.867188, 0.530657, 0.29682, -0.917231]","[7.596252, -0.553357, -3.029691, 1.781672, 3.035387, 2.609487, 0.989316, 0.863964]"
46,add_node,random,32,36,0.47095639999861305,,,True,False,,,,best_parent=7,0.60782170496816,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[4.454976, 0.153606, 0.102424, 0.617667, 0.555839, 0.560089, -0.031915, -1.335537]","[3.30219, 0.11379, 0.967325, 1.2111, -0.11798, 1.859894, -1.607614, -2.853441]"
47,add_node,random,20,37,0.48654159999932745,,,True,False,,,,best_parent=7,0.6306956085559832,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[4.906759, 0.037523, -0.0724, 0.778997, -0.678947, -1.016009, 0.350415, -1.359633]","[4.653141, -0.956768, -2.060036, -0.076519, -3.118718, 0.291736, 0.303603, -1.567315]"
48,add_node,random,28,38,0.5154347999996389,,,True,False,,,,best_parent=7,0.4946394812433055,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[5.175734, 0.393409, -0.333625, 0.090171, -0.159739, 0.425135, 0.497448, -1.714641]","[5.965056, 0.283349, -0.12955, -0.248449, -0.202746, 2.231264, 1.021566, -1.84484]"
49,add_node,random,20,39,0.5344184999994468,,,True,False,,,,best_parent=7,0.6336567468909204,"[4.791965, 0.5279, -0.072647, 0.259874, 0.339921, -0.469814, 1.001766, -1.839405]","[4.829756, 0.132779, 0.357159, 0.952039, -0.440766, -1.081185, 0.096301, -0.995047]","[3.971004, 0.043531, 2.152224, 1.626889, -0.623089, -0.467744, -2.041992, 1.830858]"
50,extend,goal_bias,14,39,0.53574849999859,0.0006365999997797189,0.0006365999997797189,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]",1.0,extend_edge_collision,,"[4.892153, 0.167169, 0.251953, 0.919519, -0.183006, -1.086885, 0.510327, -1.720283]","[4.962974, 0.095958, 0.431585, 1.148443, -0.31016, -1.398976, 0.505696, -1.751477]","[5.03654, 0.021986, 0.618179, 1.38624, -0.442241, -1.723162, 0.500885, -1.783881]"
