iteration,phase,sample_type,nearest_idx,node_count,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
41,extend,goal_bias,3,32,False,True,"[[""rt_link_end_0"", ""collision_object_0""]]","[1.632673, 0.448661, -0.629349, 1.101448, -0.475171, -2.241471, -1.32958, -0.526403]",0.14285714285714285,extend_edge_collision,,"[1.627467, 0.44847, -0.636311, 1.0678, -0.434174, -2.253974, -1.374195, -0.515203]","[1.663907, 0.449805, -0.587577, 1.303332, -0.721151, -2.166454, -1.061887, -0.593605]","[1.755064, 0.453146, -0.465666, 1.892525, -1.439037, -1.947518, -0.280635, -0.789732]"
42,add_node,random,30,33,True,False,,,,best_parent=14,0.7209358388592251,"[3.365207, 0.232195, -0.292778, 0.367715, -0.487195, -1.057888, -0.562896, 0.025252]","[3.932185, 0.013411, -0.198547, 0.646243, -0.510192, -0.654443, 0.055454, 0.414767]","[4.120725, -0.794149, 0.832449, 2.026417, -1.194799, -2.34102, 2.765428, 1.358245]"
43,add_node,random,21,34,True,False,,,,best_parent=15,0.6432048556324699,"[2.610143, 0.212219, -0.07867, -0.186944, -0.760359, -0.671107, -0.933626, -0.289338]","[2.25372, 0.035344, 0.441337, -0.056402, -0.891685, -0.331447, -0.666744, -0.195581]","[0.047044, -0.804729, 2.955022, 1.157518, -0.850026, 1.912063, 1.014501, 1.807011]"
44,add_node,random,32,35,True,False,,,,best_parent=14,0.7409379459307541,"[3.365207, 0.232195, -0.292778, 0.367715, -0.487195, -1.057888, -0.562896, 0.025252]","[3.967999, 0.100116, -0.141295, 0.86596, -0.338192, -0.793995, 0.305394, 0.534726]","[4.233477, 0.742834, 0.283102, 2.494648, 0.936789, -1.828449, 2.158118, 1.423944]"
45,add_node,random,33,36,True,False,,,,best_parent=7,0.6617488077205818,"[1.998356, 0.361757, -0.960138, 0.009712, -0.472758, -0.999782, -1.185484, -0.539226]","[2.090728, 0.110639, 0.559096, -0.180422, -0.690724, -0.08284, -0.694925, 0.022334]","[0.473897, 0.857543, 1.727235, -1.410665, 1.302751, 2.383268, -0.974468, 2.18399]"
46,add_node,random,35,37,True,False,,,,best_parent=15,0.7007082463812841,"[2.610143, 0.212219, -0.07867, -0.186944, -0.760359, -0.671107, -0.933626, -0.289338]","[1.974908, 0.067536, 0.630076, -0.414032, -0.383595, -0.227311, -0.47762, 0.082151]","[1.001863, -0.294586, 1.226402, -2.376666, 2.196706, -1.441067, 1.348035, 0.584688]"
47,add_node,random,32,38,True,False,,,,best_parent=14,0.7543169732650762,"[3.365207, 0.232195, -0.292778, 0.367715, -0.487195, -1.057888, -0.562896, 0.025252]","[4.199792, -0.096732, -0.156492, 0.702486, -0.503316, -0.746399, -0.216741, 0.41848]","[6.305238, -0.963303, 0.174387, 1.144986, -0.449215, -1.469879, -2.35829, 0.447693]"
48,add_node,random,13,39,True,False,,,,best_parent=0,0.2785891545912493,"[1.639282, 0.538089, -0.666267, 0.88684, -0.412019, -2.596525, -1.788258, -0.293579]","[2.423178, 0.423424, -0.399391, 0.007683, 0.263247, -1.801382, -1.806239, -1.074761]","[4.293566, 0.979667, -0.386607, -1.316684, 1.379592, -1.358926, -1.928286, -2.123485]"
49,add_node,random,37,40,True,False,,,,best_parent=14,0.7949813941477271,"[3.365207, 0.232195, -0.292778, 0.367715, -0.487195, -1.057888, -0.562896, 0.025252]","[4.616518, -0.139726, 0.014164, 0.552955, -0.271872, -0.741063, -0.239818, 0.281255]","[6.893785, -0.374671, 0.946744, -0.264178, 0.992893, -0.711906, -0.365922, -0.468634]"
50,add_node,random,28,41,True,False,,,,best_parent=20,0.7519127517165002,"[3.287519, 0.321608, -0.293511, -0.063367, -0.84355, -1.208802, -0.015416, -0.486669]","[4.394128, 0.253341, 0.106007, -0.366065, -0.682476, -1.413926, 0.493141, -0.757598]","[7.415557, 0.441215, 1.227168, -0.430343, 2.59694, -2.928965, 1.762703, -0.321051]"
