iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
46,add_node,random,40,48,0.11233889999857638,,,True,False,,,,best_parent=21,0.786783621573665,"[6.017959, -0.094303, -1.116417, -0.235982, -0.168342, 0.804821, -0.54302, -0.238849]","[6.227568, 0.189279, -1.073677, -0.267959, -0.294701, 0.521689, 0.364797, 0.31696]","[5.263788, 0.84291, -2.012599, -0.994892, -0.343346, 0.662922, 3.020234, 1.572218]"
47,add_node,random,42,49,0.1151307000000088,,,True,False,,,,best_parent=22,0.9352439413913796,"[6.136354, 0.001887, -0.990874, -0.323102, -0.020171, 0.517689, -0.402882, -0.30909]","[5.10887, 0.259476, 0.337958, -0.785453, 0.555387, 0.911337, -0.301592, 0.35303]","[4.735374, 0.813193, 0.93599, -2.497711, 0.542904, 2.356404, 0.814158, 0.661093]"
48,add_node,random,48,50,0.11787839999851712,,,True,False,,,,best_parent=23,0.9793485718235007,"[6.263803, 0.072425, -0.817556, -0.344612, -0.015264, 0.708162, -0.151003, -0.058423]","[5.069643, 0.315864, 0.471421, -0.771234, 0.391296, 1.122497, 0.059473, 0.366693]","[4.757521, 0.764537, 1.533366, -0.65809, -0.914351, 2.802667, 2.932409, 0.475403]"
49,add_node,random,36,51,0.12156809999942197,,,True,False,,,,best_parent=21,0.8870286581592097,"[6.017959, -0.094303, -1.116417, -0.235982, -0.168342, 0.804821, -0.54302, -0.238849]","[5.12445, 0.100851, -0.018611, -0.308724, 0.671117, 0.217397, -0.569961, 0.815648]","[5.121319, -0.353904, 0.246648, -0.571121, 1.802691, -1.176621, -1.327741, 2.849214]"
50,add_node,random,45,52,0.12345759999880102,,,True,False,,,,best_parent=24,0.8761547222779573,"[5.156308, -0.411885, -1.427555, -0.542929, -0.192027, 1.102589, -0.176379, -0.516157]","[3.509404, -0.347923, -1.110963, 0.265246, 0.153416, 0.772175, 0.786226, -1.07555]","[3.218477, -0.233648, 2.692418, 1.585133, 1.730696, 0.392082, 2.751642, -1.531465]"
50,connect_goal,,46,52,0.12379650000002584,,,True,False,,,,periodic_goal_connected,0.998329644411352,"[3.964998, 0.452821, -3.00033, -0.043431, -1.731583, 0.144142, -3.058933, 0.18855]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]",
51,add_node,random,51,53,0.12582259999908274,,,True,False,,,,best_parent=24,0.903853033130162,"[5.156308, -0.411885, -1.427555, -0.542929, -0.192027, 1.102589, -0.176379, -0.516157]","[3.584803, -0.374785, -0.810479, 0.444569, 0.405732, 0.891808, 0.920168, -0.92279]","[4.356786, -0.649815, 2.266063, 2.280588, 2.989102, 2.116681, 2.29155, 0.641262]"
52,add_node,random,50,54,0.1295680999992328,,,True,False,,,,best_parent=21,0.8977886266378248,"[6.017959, -0.094303, -1.116417, -0.235982, -0.168342, 0.804821, -0.54302, -0.238849]","[5.263758, 0.041232, -0.167823, -0.073547, 0.910193, 0.30932, -0.481849, 1.04836]","[6.346076, -0.421954, -1.327084, 1.753591, 2.767627, 1.02349, 0.202714, 2.85635]"
53,add_node,goal_bias,46,55,0.13097860000016226,,,True,False,,,,best_parent=46,0.998329644411352,"[3.964998, 0.452821, -3.00033, -0.043431, -1.731583, 0.144142, -3.058933, 0.18855]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
53,connect_goal,,46,55,0.13131299999986368,,,True,False,,,,periodic_goal_connected,0.998329644411352,"[3.964998, 0.452821, -3.00033, -0.043431, -1.731583, 0.144142, -3.058933, 0.18855]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]",
54,add_node,random,53,56,0.1338157999998657,,,True,False,,,,best_parent=53,0.9777886266378248,"[5.263758, 0.041232, -0.167823, -0.073547, 0.910193, 0.30932, -0.481849, 1.04836]","[4.835305, 0.004726, -0.012391, 0.044939, 1.069941, 0.066324, -0.460998, 1.056265]","[0.24339, -0.386531, 1.653443, 1.314806, 2.782039, -2.53797, -0.237528, 1.140988]"
55,add_node,random,47,57,0.13826169999993,,,True,False,,,,best_parent=21,0.8347137097187116,"[6.017959, -0.094303, -1.116417, -0.235982, -0.168342, 0.804821, -0.54302, -0.238849]","[6.360436, 0.191941, -1.108324, -0.106322, -0.194584, 0.741753, 0.64055, 0.598673]","[7.212542, 0.209016, -1.330519, 0.930281, 0.447482, 2.153058, 2.409003, 2.405348]"
56,add_node,random,49,58,0.14150149999841233,,,True,False,,,,best_parent=23,1.0020108971732582,"[6.263803, 0.072425, -0.817556, -0.344612, -0.015264, 0.708162, -0.151003, -0.058423]","[4.722627, 0.371539, 0.209402, -0.965092, 0.24801, 1.185975, 0.139529, 0.459123]","[1.00407, 0.968138, -2.598338, -3.042434, -1.287408, 1.866188, 0.997399, 1.449583]"
57,add_node,random,42,59,0.16604439999900933,,,True,False,,,,best_parent=21,0.8819641986214064,"[6.017959, -0.094303, -1.116417, -0.235982, -0.168342, 0.804821, -0.54302, -0.238849]","[4.971818, 0.120842, 0.282755, -0.458957, 0.762717, 0.552246, -0.593196, -0.053888]","[3.79773, -0.176697, 0.525032, -0.148261, 1.987037, -0.208106, -1.265815, -2.185862]"
58,add_node,goal_bias,54,60,0.16760280000016792,,,True,False,,,,best_parent=54,0.998329644411352,"[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
58,connect_goal,,46,60,0.16803299999992305,,,True,False,,,,periodic_goal_connected,0.998329644411352,"[3.964998, 0.452821, -3.00033, -0.043431, -1.731583, 0.144142, -3.058933, 0.18855]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]",
59,add_node,goal_bias,54,61,0.16933569999855536,,,True,False,,,,best_parent=54,0.998329644411352,"[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]"
59,connect_goal,,46,61,0.1698302999993757,,,True,False,,,,periodic_goal_connected,0.998329644411352,"[3.964998, 0.452821, -3.00033, -0.043431, -1.731583, 0.144142, -3.058933, 0.18855]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]",
60,add_node,random,45,62,0.17291539999860106,,,True,False,,,,best_parent=24,0.8684080589689606,"[5.156308, -0.411885, -1.427555, -0.542929, -0.192027, 1.102589, -0.176379, -0.516157]","[3.249845, -0.355632, -1.524272, 0.192479, -0.205617, 0.652997, 0.647944, -0.671324]","[0.534229, -0.31594, -1.671112, 0.803296, -2.023689, -0.835251, 1.277223, 2.667894]"
60,connect_goal,,46,62,0.1735339999995631,,,True,False,,,,periodic_goal_connected,0.998329644411352,"[3.964998, 0.452821, -3.00033, -0.043431, -1.731583, 0.144142, -3.058933, 0.18855]","[3.839626, 0.51842, -3.14, -0.00015, -1.804381, 0.096026, -3.14, 0.301248]",
61,add_node,random,52,63,0.17614150000008522,,,True,False,,,,best_parent=24,0.9052833765640287,"[5.156308, -0.411885, -1.427555, -0.542929, -0.192027, 1.102589, -0.176379, -0.516157]","[3.941123, -0.348654, -0.822428, 0.561196, 0.746718, 1.036132, 0.845259, -1.017579]","[5.883121, -0.206237, -0.887555, 1.19683, 2.605137, 1.822723, 0.436994, -1.534192]"
62,add_node,random,62,64,0.2462865999987116,,,True,False,,,,best_parent=62,0.9852833765640286,"[3.941123, -0.348654, -0.822428, 0.561196, 0.746718, 1.036132, 0.845259, -1.017579]","[4.167787, -0.394782, -0.645141, 0.800217, 0.844199, 0.896915, 1.08049, -1.179384]","[6.101328, -0.788275, 0.867195, 2.839167, 1.675752, -0.290669, 3.087106, -2.559649]"
63,add_node,random,61,65,0.2767958999993425,,,True,False,,,,best_parent=24,0.8866475680999178,"[5.156308, -0.411885, -1.427555, -0.542929, -0.192027, 1.102589, -0.176379, -0.516157]","[3.44055, -0.379089, -1.692755, 0.269389, -0.357001, 0.322152, 0.826339, -0.511648]","[4.904971, -0.559216, -2.986529, 0.859976, -1.519481, -2.218403, 2.196235, 0.714504]"
64,add_node,random,55,66,0.27978649999931804,,,True,False,,,,best_parent=53,1.0339573699156255,"[5.263758, 0.041232, -0.167823, -0.073547, 0.910193, 0.30932, -0.481849, 1.04836]","[4.764577, -0.079103, -0.0386, 0.027771, 0.976898, -0.293751, -0.629027, 1.167762]","[4.237754, -0.70351, -0.233824, -0.100107, 0.28386, -2.975796, -1.880602, 1.998258]"
