iteration,phase,sample_type,nearest_idx,node_count,elapsed_s,phase_elapsed_s,collision_check_elapsed_s,accepted,collision,collision_pairs,collision_q,collision_alpha,reason,cost,from_q,to_q,sample_q
35,add_node,random,31,34,0.13571279999996477,,,True,False,,,,best_parent=20,0.6276284641729655,"[4.746113, -0.070535, -1.689946, -0.923455, -0.895663, 0.905961, 0.293362, -1.096282]","[4.332605, 0.217166, -0.61393, -0.134246, -0.345771, 0.992991, -0.332005, -0.429904]","[3.982685, 0.469539, 1.850416, 1.617492, -0.209566, 1.518646, -0.258914, 2.017781]"
36,add_node,random,29,35,0.1386875999996846,,,True,False,,,,best_parent=6,0.5674424117042458,"[4.880475, -0.573871, -1.443916, -1.367851, -1.148415, -0.621778, 1.027501, -1.310351]","[3.978986, -0.459098, -0.754936, -1.100073, -0.277173, -1.732886, 0.91016, -0.470793]","[3.307937, 0.193038, 0.181275, 1.159775, -1.607624, -2.852168, 2.029664, 1.555851]"
37,extend,goal_bias,24,35,0.13913569999931497,0.00019049999900744297,0.00019049999900744297,False,True,"[[""dda_link_end_0"", ""collision_object_0""]]","[3.550005, -0.899785, -0.832122, -0.985231, -0.771141, -2.13232, 0.928326, -1.068091]",0.16666666666666666,extend_edge_collision,,"[3.593407, -0.887272, -0.838005, -1.008587, -0.778597, -2.075492, 0.913504, -1.081959]","[3.332994, -0.96235, -0.802709, -0.86845, -0.73386, -2.416461, 1.002432, -0.998752]","[3.202401, -1.0, -0.78501, -0.798173, -0.711425, -2.58745, 1.047027, -0.957026]"
38,extend,random,24,35,0.13949639999918872,0.0002490999995643506,0.0002490999995643506,False,True,"[[""dda_link_end_0"", ""collision_object_0""]]","[3.547108, -0.886057, -0.811088, -1.000227, -0.728172, -2.061472, 0.918006, -1.097062]",0.14285714285714285,extend_edge_collision,,"[3.593407, -0.887272, -0.838005, -1.008587, -0.778597, -2.075492, 0.913504, -1.081959]","[3.269312, -0.878766, -0.649586, -0.950067, -0.425627, -1.977351, 0.945015, -1.187685]","[1.246533, -0.825672, 0.526389, -0.584821, 1.777365, -1.364826, 1.14168, -1.847558]"
39,add_node,random,32,36,0.14314229999945383,,,True,False,,,,best_parent=4,0.4528656499327169,"[5.775809, -0.284034, -1.611511, -1.634198, -1.169398, 0.532561, 0.688442, -1.556157]","[4.858698, -0.098831, -1.755842, -0.705711, -0.172037, 1.000747, -0.494881, -1.139657]","[4.739716, -0.712703, -2.917036, -0.986261, 2.867947, -0.013077, -3.085308, -0.969758]"
40,add_node,random,25,37,0.1483265000006213,,,True,False,,,,best_parent=4,0.38899485540837314,"[5.775809, -0.284034, -1.611511, -1.634198, -1.169398, 0.532561, 0.688442, -1.556157]","[4.148726, -0.143931, -1.393373, -1.545057, -0.497856, 1.000011, 0.072692, -1.410718]","[0.876395, -0.461101, 0.139809, -2.438628, 1.65913, 1.471922, -0.44545, -0.253867]"
41,extend,goal_bias,24,37,0.14891929999976128,0.00020050000057381112,0.00020050000057381112,False,True,"[[""dda_link_end_0"", ""collision_object_0""]]","[3.550005, -0.899785, -0.832122, -0.985231, -0.771141, -2.13232, 0.928326, -1.068091]",0.16666666666666666,extend_edge_collision,,"[3.593407, -0.887272, -0.838005, -1.008587, -0.778597, -2.075492, 0.913504, -1.081959]","[3.332994, -0.96235, -0.802709, -0.86845, -0.73386, -2.416461, 1.002432, -0.998752]","[3.202401, -1.0, -0.78501, -0.798173, -0.711425, -2.58745, 1.047027, -0.957026]"
42,add_node,random,8,38,0.1550083000001905,,,True,False,,,,best_parent=0,0.29671892855648047,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[4.977995, -0.5944, -1.235221, -0.884741, -1.234147, -0.261333, 1.269776, -0.706744]","[4.506366, -0.727015, -0.615312, -0.041871, -1.925487, 1.557789, 2.482445, 1.342428]"
43,add_node,random,37,39,0.16144429999985732,,,True,False,,,,best_parent=0,0.32459053710408575,"[6.158296, -0.346555, -1.970737, -1.70581, -1.212388, 0.129845, 0.933701, -1.417149]","[4.674403, -0.520805, -1.356827, -0.701879, -1.209177, -0.383298, 1.543813, -0.750786]","[2.946228, -0.101872, -2.04906, 0.339049, -1.067037, -1.077577, 3.103749, -1.001492]"
44,add_node,random,33,40,0.2321615999990172,,,True,False,,,,best_parent=20,0.6566355496153083,"[4.746113, -0.070535, -1.689946, -0.923455, -0.895663, 0.905961, 0.293362, -1.096282]","[3.906994, 0.245735, -0.679986, -0.062796, -0.026466, 1.030435, -0.211134, -0.479429]","[0.289848, 0.488537, -1.241378, 0.544437, 2.687219, 1.348663, 0.816115, -0.900327]"
